ID,Titre,Auteur,Éditeur,Année,Type,Genre,Note,À vérifier,Photos,Résumé
119,Viêt-Nam,Renaud Rabier (photography),Zaffran,,Beau livre / Photographie,Voyage / Asie,,,IMG-20260529-WA0014.jpg / PXL_20260522_080951230.jpg,"Beau livre de photographies de Renaud Rabier consacré au Viêt-Nam. À travers ses images, l'ouvrage donne à voir les paysages, les villes, les villages et les visages du pays, célébrant la richesse de ses cultures et la beauté de ses contrées. Un livre illustré invitant au voyage à la découverte du Vietnam contemporain."
120,Efficace et épanoui par la PNL,René de Lassus,Marabout,1996,Manuel / Guide pratique,Développement personnel,,,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Guide pratique de René de Lassus consacré à la programmation neuro-linguistique (PNL). L'ouvrage présente de façon accessible les principes et les techniques de cette approche de la communication et du changement personnel, avec des exercices destinés à mieux se connaître, à communiquer efficacement et à s'épanouir dans sa vie personnelle et professionnelle. Une initiation pratique aux outils de la PNL."
121,Ne vous noyez pas dans un verre d'eau,Richard Carlson,Michel Lafon / J'ai lu,1998,Manuel / Guide pratique,Développement personnel,,,IMG-20260529-WA0015.jpg,"Ouvrage de développement personnel de Richard Carlson (« Don't Sweat the Small Stuff »), best-seller mondial. L'auteur livre une série de conseils brefs pour relativiser les tracas du quotidien, lâcher prise et vivre plus sereinement. Il invite à ne pas se laisser submerger par les petites contrariétés et à cultiver le calme, la bienveillance et le recul face aux soucis de la vie."
122,Le bouddhisme au Vietnam,Richard Gard / collectif,,1992,Essai,Religions / Sagesses orientales,,,PXL_20260522_080837282.jpg,"Ouvrage collectif, associé au nom de Richard Gard, consacré au bouddhisme au Vietnam. Il présente l'histoire, les courants, les pratiques et la place du bouddhisme dans la culture et la société vietnamiennes. Une étude sur cette tradition spirituelle majeure et son enracinement dans l'histoire du pays."
123,Access Paris (Richard Saul Wurman's Ultimate Guide),Richard Saul Wurman,Access Press / HarperCollins,2002,Guide de voyage,Voyage / Europe,,,IMG-20260529-WA0027.jpg / PXL_20260522_080854643.jpg,"Guide touristique de Paris de la collection Access, conçue par Richard Saul Wurman. Organisé par quartiers et illustré de cartes en couleur, l'ouvrage recense monuments, musées, restaurants, hôtels et commerces, avec une présentation visuelle et pratique destinée à faciliter la découverte de la capitale française. Un guide de voyage clair et richement documenté."
124,Paddy Clarke Ha Ha Ha,Roddy Doyle,Random House Audiobooks,1984,Roman,Fiction étrangère,3.8,,PXL_20260522_080947466.jpg,"Roman de l'Irlandais Roddy Doyle, lauréat du Booker Prize 1993. Le récit est porté par la voix de Paddy Clarke, garçon de dix ans vivant dans une banlieue de Dublin au tournant des années 1960-1970. À travers son regard naïf et drôle se déploient les jeux, les bagarres, les amitiés et la lente perception de la désunion de ses parents. Une évocation tendre et juste de l'enfance et de sa fin."
167,Les réserves de biosphère,Saleh Adam,Octaviana,2018,Essai,Écologie / Développement durable,,,IMG-20260529-WA0022.jpg,"Ouvrage consacré aux réserves de biosphère, ces territoires reconnus par l'UNESCO qui concilient conservation de la biodiversité et développement durable. Il en présente la gestion, les politiques publiques et leur rôle dans la protection des écosystèmes."
126,My Beloved Thailand,Santi Leksukhum / Gilles Mermet,,,Beau livre / Photographie,Voyage / Asie,,,IMG-20260529-WA0014.jpg / PXL_20260522_080951230.jpg / PXL_20260522_080954822.jpg,"Beau livre illustré consacré à la Thaïlande, fruit de la collaboration entre l'historien d'art Santi Leksukhum et le photographe Gilles Mermet. L'ouvrage propose une découverte visuelle du pays, de ses paysages, de sa culture et de son patrimoine artistique et religieux. Version anglophone d'un titre célébrant la richesse du royaume thaïlandais."
127,Temples d'Or de Thaïlande,"Santi Leksukhum, Gilles Mermet",,,Beau livre / Photographie,Voyage / Asie,,,IMG-20260529-WA0014.jpg / PXL_20260522_080951230.jpg,"Beau livre richement illustré consacré aux temples dorés de Thaïlande, signé par l'historien d'art Santi Leksukhum et le photographe Gilles Mermet. L'ouvrage présente l'architecture religieuse bouddhiste thaïlandaise, ses sanctuaires, ses statues et son patrimoine sacré, à travers de superbes photographies accompagnées de commentaires éclairant l'histoire de l'art du royaume."
125,Cry Palestine,Saïd K. Aburish,Taylor & Francis Group,2019,Document,Géopolitique / Moyen-Orient,,,IMG-20260529-WA0012.jpg / PXL_20260522_080939460.jpg,"Essai du journaliste palestinien Saïd K. Aburish consacré à la condition des Palestiniens et au conflit israélo-arabe. À partir de l'Intifada de 1987-1993, l'auteur analyse les conditions sociales, politiques et humaines du peuple palestinien sous occupation. Un témoignage engagé qui mêle reportage et réflexion politique sur les racines et les enjeux d'un conflit durable."
128,The Watercolour Paintings of Somjai Reiss,Somjai Reiss,,,Beau livre / Photographie,Art,,,PXL_20260522_080951230.jpg,"Recueil des aquarelles de l'artiste Somjai Reiss. Ce beau livre présente l'œuvre picturale de l'artiste à travers une sélection de peintures à l'aquarelle, mettant en valeur sa technique, ses thèmes et sa sensibilité. Un ouvrage destiné aux amateurs d'art et de peinture."
129,La Confusion des sentiments,Stefan Zweig,Le Livre de Poche,1942,Roman,Littérature étrangère,3.5,,IMG-20260529-WA0025.jpg,"Récit célèbre de Stefan Zweig. Un étudiant évoque la fascination intense qu'il a éprouvée pour un vieux professeur de lettres au charisme magnétique. Au fil de leur relation, le jeune homme perçoit le trouble et le secret qui rongent son maître, dont l'homosexualité inavouée explique la passion et la détresse. Une analyse psychologique d'une grande finesse sur le désir, l'admiration et le tourment intérieur."
130,Running Man,Stephen King (Richard Bachman),J'ai lu,1982,Roman,Science-fiction,3.6,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Roman dystopique de Stephen King publié sous le pseudonyme de Richard Bachman. Dans une Amérique future appauvrie et autoritaire, Ben Richards participe à un jeu télévisé mortel : traqué par des chasseurs professionnels, il doit survivre le plus longtemps possible tandis que le public suit sa fuite. Une critique acerbe de la société du spectacle et des médias de masse, sur fond d'action haletante."
131,Le chat (Absolument tout sur le chat),Steve Duno,,,Manuel / Guide pratique,Nature,,,IMG-20260529-WA0014.jpg / IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,"Guide pratique consacré au chat, par Steve Duno. L'ouvrage rassemble des conseils sur les soins, l'alimentation, le comportement, la santé et l'éducation du chat domestique. Un manuel de référence destiné aux propriétaires souhaitant mieux comprendre et accompagner leur animal."
132,Hidden Gardens of Paris,Susan Cahill,St. Martin's Press,2012,Beau livre / Photographie,Voyage / Asie,,,IMG-20260529-WA0027.jpg / PXL_20260522_080854643.jpg,"Ouvrage de Susan Cahill consacré aux jardins cachés de Paris. Mêlant guide et beau livre illustré, il invite à découvrir des jardins secrets, squares et espaces verts méconnus de la capitale française. Une promenade littéraire et visuelle à travers les havres de verdure parisiens, leur histoire et leur charme."
133,Le chantage affectif,Susan Forward avec Donna Frazier,Marabout / J'ai lu (Aujourd'hui),,Essai,Psychologie,,,IMG-20260529-WA0015.jpg / PXL_20260522_080837282.jpg,"Essai de psychologie de Susan Forward, avec Donna Frazier, sur le chantage affectif. L'auteure décrit les mécanismes par lesquels certaines personnes manipulent leurs proches en jouant sur la peur, l'obligation et la culpabilité. Elle propose des outils concrets pour reconnaître ces dynamiques toxiques et s'en libérer afin de préserver des relations plus saines."
134,Feng Shui,Suzanne Pfeil,New Line Books,1997,Manuel / Guide pratique,Religions / Sagesses orientales,,,IMG-20260529-WA0014.jpg / PXL_20260522_080951230.jpg,"Guide pratique consacré au Feng Shui, par Suzanne Pfeil. L'ouvrage présente les principes de cet art chinois d'harmonisation des lieux de vie, visant à favoriser la circulation des énergies et le bien-être. Conseils d'aménagement de l'habitat selon cette tradition orientale."
135,La toux qui a agacé tout l'État,Sylvain Frezel,,,Roman,Humour,,oui,IMG-20260529-WA0022.jpg,"Ouvrage de Sylvain Frezel au titre fantaisiste évoquant une toux qui « agace tout l'État ». Le ton suggère un récit humoristique ou satirique. Faute d'informations fiables sur le contenu, cette description reste prudente et fondée sur le seul titre."
136,La Yougoslavie agonie d'un Etat,Sylvaine Trezel?,,,Document,Géopolitique / Moyen-Orient,,oui,PXL_20260522_080858839.jpg,Ouvrage consacré à l'agonie de la Yougoslavie en tant qu'État. Il traite vraisemblablement de la désintégration de la fédération yougoslave et des conflits qui ont accompagné son éclatement dans les années 1990. Description prudente faute de précisions confirmées sur l'auteur et le contenu exact.
162,Le chomage et les politiques de l'emploi,Teulon,Seuil,1996,Essai,Économie,,,IMG-20260529-WA0022.jpg / PXL_20260522_080858839.jpg,"Essai consacré au chômage et aux politiques de l'emploi. Il analyse les causes du chômage, ses formes et les différents dispositifs publics destinés à le combattre : politiques actives et passives, formation, aides à l'embauche et régulation du marché du travail."
137,Being Peace,Thich Nhat Hanh,Parallax Press,,Spiritualité,Religions / Sagesses orientales,,,IMG-20260529-WA0015.jpg / PXL_20260522_080837282.jpg,"Recueil d'enseignements du maître bouddhiste vietnamien Thich Nhat Hanh. À travers des réflexions sur la pleine conscience, la méditation et la paix intérieure, l'auteur montre comment la transformation personnelle est le fondement de la paix dans le monde. Un classique de la spiritualité engagée, simple et lumineux, reliant pratique quotidienne et action pour la non-violence."
138,Génération Participation,Thierry Maillet,M2 Éditions,2016,Essai,Politique / Société,,,IMG-20260529-WA0012.jpg / PXL_20260522_080939460.jpg,"Essai de Thierry Maillet sur l'émergence d'une « génération participation ». L'auteur analyse les transformations sociales et démocratiques portées par les nouvelles technologies et l'implication citoyenne, notamment des jeunes. Il décrit le passage d'une société de consommation passive à une culture de la participation et du changement social."
139,Poker d'âmes,Tim Powers,J'ai lu (S-F),,Roman,Science-fiction,,,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Roman de l'écrivain américain Tim Powers, publié en français chez J'ai lu en science-fiction/fantastique. L'auteur est connu pour ses récits mêlant histoire secrète, fantastique et surnaturel. « Poker d'âmes » s'inscrit dans cet univers où le jeu et les forces occultes se mêlent. Description fondée sur l'œuvre et la collection de l'auteur."
140,L'art du jardin zen,Veronica Ray,Pocket,,Manuel / Guide pratique,Religions / Sagesses orientales,,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Guide consacré à l'art du jardin zen, par Veronica Ray. L'ouvrage présente la philosophie et les principes des jardins japonais inspirés du bouddhisme zen, conçus comme des espaces de contemplation et de sérénité. Conseils et réflexions pour créer ou apprécier ces lieux de méditation."
141,Orlando,Virginia Woolf,Actes Sud (Babel / Papiers),1928,Roman,Littérature étrangère,4.3,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Roman fantaisiste de Virginia Woolf. Orlando, jeune noble de l'époque élisabéthaine, traverse les siècles sans vieillir et change de sexe en cours de route, devenant femme. À travers cette biographie imaginaire, Woolf explore avec ironie et poésie l'identité, le genre et la littérature anglaise. Une œuvre inventive, hommage à son amie Vita Sackville-West."
142,1876,,,,Roman,Littérature étrangère,,oui,PXL_20260522_080934604.jpg,"Ouvrage intitulé « 1876 », sans auteur ni éditeur identifiés dans la fiche. Il pourrait s'agir d'un roman historique ou d'un document lié à cette année. Faute d'informations fiables, cette description demeure neutre et prudente."
143,Actes de la Conférence Internationale de Bordeaux,,,,Revue / Catalogue,Politique / Société,,oui,PXL_20260522_080947466.jpg,"Actes d'une conférence internationale tenue à Bordeaux. Ce document rassemble vraisemblablement les communications, interventions et comptes rendus présentés lors de cette rencontre. Le thème précis n'étant pas indiqué, la description reste générale."
144,Autre vue du Pays Stéphanois,,,1992,Document,Histoire,,oui,IMG-20260529-WA0013.jpg / PXL_20260522_080954822.jpg,"Ouvrage régional consacré au pays stéphanois (région de Saint-Étienne), proposant un « autre regard » sur ce territoire, son histoire, son patrimoine ou sa vie locale. Description prudente faute de précisions sur le contenu et l'auteur."
145,Catalogue,,,,Revue / Catalogue,Art,,oui,IMG-20260529-WA0018.jpg / PXL_20260522_080943546.jpg,"Catalogue, sans titre précis ni auteur indiqués. Il s'agit vraisemblablement d'un catalogue d'exposition, de vente ou de collection. Faute d'informations, la description demeure neutre."
146,Cochinchine en 1881,,,1881,Document,Voyage / Asie,,oui,IMG-20260529-WA0025.jpg,"Document historique relatif à la Cochinchine en 1881, c'est-à-dire au sud du Vietnam à l'époque coloniale française. Il pourrait s'agir d'un récit, d'un rapport ou d'une étude de l'époque. Description prudente fondée sur le seul titre."
147,Connaissance de l'Orient,,Gallimard (nrf),,Référence,Voyage / Asie,,oui,PXL_20260522_080923036.jpg,"« Connaissance de l'Orient » est une célèbre collection des éditions Gallimard (nrf) consacrée aux littératures et pensées d'Asie. Le volume précis n'étant pas identifié, il s'agit vraisemblablement d'un texte traduit d'une tradition orientale. Description fondée sur la collection."
148,Dans la nuit des abysses,,,,Roman,Science-fiction,,oui,PXL_20260522_080858839.jpg,"Ouvrage intitulé « Dans la nuit des abysses », au titre évoquant les profondeurs marines ou un univers d'aventure et de mystère. Sans auteur ni indications complémentaires, cette description reste prudente et neutre."
149,Dans le mur le sang,,Techniques & Scénarios,,Manuel / Guide pratique,Art,,oui,IMG-20260529-WA0022.jpg,"Ouvrage publié chez « Techniques & Scénarios », éditeur spécialisé dans les méthodes d'écriture et de scénario. « Dans le mur le sang » pourrait être un manuel ou un recueil lié à l'écriture de récits de genre. Description prudente faute de précisions."
153,Dutch (A Rough Guide Phrasebook),,Rough Guides,,Référence,Voyage / Asie,,,IMG-20260529-WA0014.jpg / IMG-20260529-WA0022.jpg / PXL_20260522_080858839.jpg / PXL_20260522_080951230.jpg,"Guide de conversation néerlandais de la collection Rough Guides. Cet ouvrage de poche propose vocabulaire, expressions courantes et notions linguistiques de base pour communiquer en néerlandais lors d'un voyage aux Pays-Bas ou en Belgique. Un outil pratique pour le voyageur."
150,"Développement durable : Villes, régions... (Alternatives Économiques Hors-série pratique n°29)",,Alternatives Économiques,,Revue / Catalogue,Écologie / Développement durable,,oui,PXL_20260522_080951230.jpg,"Hors-série pratique d'Alternatives Économiques (n°29) consacré au développement durable à l'échelle des villes et des régions. Ce dossier rassemble analyses, exemples et conseils sur les politiques locales en matière d'environnement, d'urbanisme et de transition écologique. Un guide thématique destiné à un large public et aux acteurs territoriaux."
157,Fodor's San Francisco,,Fodor's,,Guide de voyage,Voyage / Amérique,,oui,IMG-20260529-WA0027.jpg,"Guide touristique de la collection Fodor's dédié à San Francisco. Il propose des recommandations d'hébergement, de restauration, de visites et d'itinéraires, accompagnées de cartes et de conseils pratiques pour découvrir la ville californienne. Ouvrage en anglais."
158,Guide 2012 (English) - Chateaux & Hotels Collection,,Chateaux & Hotels Collection,2012,Revue / Catalogue,Voyage / Europe,,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Catalogue 2012 de la collection Châteaux & Hôtels, en anglais. Il présente une sélection d'établissements hôteliers et de restaurants de charme, souvent installés dans des demeures de caractère, avec descriptions, photographies et coordonnées pour le voyageur."
160,La Diététique taoïste,,Ellipses,,Manuel / Guide pratique,Cuisine / Diététique,,,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Ouvrage consacré à la diététique taoïste, qui présente les principes de l'alimentation selon la tradition chinoise et le taoïsme : équilibre du yin et du yang, des cinq éléments, et choix des aliments en fonction de leurs propriétés énergétiques pour préserver la santé."
161,Le Bouddha,,Seuil,,Essai,Religions / Sagesses orientales,,oui,IMG-20260529-WA0026.jpg,"Ouvrage publié au Seuil consacré au Bouddha, retraçant la vie, l'enseignement et l'héritage du fondateur du bouddhisme. Il présente les grands principes de sa doctrine et leur portée spirituelle et historique."
163,Le guide complet des chats,,,,Manuel / Guide pratique,Nature,,,IMG-20260529-WA0014.jpg / IMG-20260529-WA0020.jpg / PXL_20260522_080951230.jpg,"Guide pratique consacré aux chats. Il aborde le choix de l'animal, les différentes races, l'alimentation, les soins, la santé, l'éducation et le comportement, afin d'accompagner les propriétaires dans l'entretien quotidien de leur compagnon félin."
164,Le syndicalisme en France depuis 1945,,Reperes (La Decouverte),,Essai,Politique / Société,,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Ouvrage de la collection Repères (La Découverte) retraçant l'histoire du syndicalisme en France depuis 1945. Il analyse l'évolution des organisations syndicales, leurs courants, leur poids dans les relations sociales et les transformations du monde du travail."
165,Les enjeux de la biosphere,,Octarius?,,Essai,Écologie / Développement durable,,oui,PXL_20260522_080858839.jpg,"Ouvrage consacré aux enjeux de la biosphère. Il examine les équilibres écologiques planétaires, les pressions exercées par les activités humaines et les défis liés à la préservation des écosystèmes et de la diversité du vivant."
168,Lieux de légendes,,Saint-André-des-Arts,,Beau livre / Photographie,Histoire,,oui,IMG-20260529-WA0013.jpg / PXL_20260522_080954822.jpg,"Beau livre illustré explorant des lieux de légendes à travers le monde. Il associe photographies et récits pour évoquer des sites chargés de mythes, de traditions et d'histoires populaires."
169,Lieux mystérieux,,Saint-André-des-Arts,,Beau livre / Photographie,Histoire,,oui,IMG-20260529-WA0013.jpg / PXL_20260522_080954822.jpg,"Ouvrage illustré consacré à des lieux mystérieux à travers le monde. Il présente, par le texte et l'image, des sites entourés d'énigmes, de phénomènes inexpliqués ou de croyances anciennes."
173,O.N.G !,,P.O.L,,Roman,Littérature française,,oui,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,Ouvrage publié aux éditions P.O.L portant sur les ONG. Le contexte éditorial littéraire suggère un récit ou un essai abordant le monde des organisations non gouvernementales. Le contenu précis demeure incertain.
175,Paris Pratique par arrondissement,,L'Indispensable,,Guide de voyage,Voyage / Europe,,oui,IMG-20260529-WA0027.jpg,"Plan-guide « Paris pratique par arrondissement » publié par L'Indispensable. Il rassemble les plans détaillés de Paris quartier par quartier, avec répertoire des rues, lignes de transport et informations utiles pour se déplacer dans la capitale."
176,Paris Tonique,,Parigramme,,Guide de voyage,Voyage / Europe,,oui,PXL_20260522_080854643.jpg,"Guide des éditions Parigramme consacré à Paris, proposant une sélection d'adresses et de bons plans pour profiter de la vie parisienne. Il met l'accent sur les lieux dynamiques, sorties et activités de la capitale."
177,Pays de France : à la découverte du patrimoine régional,,Fondation du Patrimoine,,Beau livre / Photographie,Histoire,,,IMG-20260529-WA0013.jpg / PXL_20260522_080951230.jpg / PXL_20260522_080954822.jpg,"Ouvrage de la Fondation du Patrimoine invitant à la découverte du patrimoine régional français. Il présente, à travers les pays et terroirs de France, les monuments, paysages et savoir-faire qui composent la richesse patrimoniale du territoire."
179,Relais & Châteaux,,ENG,,Revue / Catalogue,Voyage / Europe,,,IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,"Catalogue de la collection Relais & Châteaux, en anglais. Il présente une sélection d'hôtels et de restaurants de prestige, souvent dans des demeures d'exception, avec descriptions, photographies et coordonnées pour le voyageur exigeant."
180,Spiritualites vivantes (Albin Michel),,Albin Michel (Spiritualites vivantes),,Spiritualité,Religions / Sagesses orientales,,oui,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Volume de la collection « Spiritualités vivantes » des éditions Albin Michel, consacrée aux grandes traditions spirituelles et sagesses du monde. La collection publie textes fondateurs et essais sur la vie intérieure, la méditation et les voies spirituelles."
182,The Daily Telegraph Big Book of Cryptic Crosswords No. 1,,Pan,,Manuel / Guide pratique,Humour,,,IMG-20260529-WA0027.jpg / PXL_20260522_080854643.jpg,"Recueil de mots croisés cryptiques publié par le Daily Telegraph (Pan Books). Il propose une grande collection de grilles de mots croisés à énigmes, divertissement de réflexion typiquement britannique. Ouvrage en anglais."
183,Touratech 2006,,Touratech,2006,Revue / Catalogue,Voyage / Asie,,,IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,"Catalogue 2006 de la marque Touratech, spécialisée dans les équipements et accessoires pour motos de voyage et d'aventure. Il présente bagageries, protections et matériel destinés aux raids et voyages au long cours à moto."
184,Un voyage aux sources gitanes,,,,Document,Voyage / Asie,,oui,IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,"Récit consacré à un voyage aux sources de la culture gitane. L'ouvrage suit, semble-t-il, les origines et les routes du peuple rom, sa musique et ses traditions. Le contenu précis reste incertain."
185,Visions of Angels,,,,Beau livre / Photographie,Art,,oui,IMG-20260529-WA0014.jpg / IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg / PXL_20260522_080951230.jpg,"Ouvrage intitulé « Visions of Angels » consacré, selon son titre, à la représentation des anges dans l'art et l'imaginaire. Faute d'informations complémentaires, le contenu exact demeure incertain."
186,Vive l'amour !,,First Editions,,Manuel / Guide pratique,Psychologie,,oui,IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,Ouvrage publié par First Editions au titre « Vive l'amour ! ». Il s'agit vraisemblablement d'un guide pratique ou d'un ouvrage léger sur la vie amoureuse et le couple. Le contenu précis reste incertain.
154,Économie frugale,,Pearson,,Essai,Économie,,,IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg,"Essai consacré à l'économie frugale (« frugal innovation » ou jugaad), publié chez Pearson. L'ouvrage explore comment innover et créer de la valeur avec des ressources limitées, en s'inspirant notamment de pratiques émergentes en Inde et dans les pays du Sud. Une réflexion sur une économie plus sobre, ingénieuse et accessible."
1,世界から猫が消えたなら (Sekai kara neko ga kieta nara),川村元気 (Genki Kawamura),小学館文庫 (Shogakukan Bunko),2012,Roman,Fiction étrangère,3.7,,IMG-20260529-WA0017.jpg / IMG-20260529-WA0019.jpg / IMG-20260529-WA0022.jpg / PXL_20260522_080858839.jpg,"Roman du Japonais Genki Kawamura. Un jeune facteur apprend qu'il est atteint d'une tumeur au cerveau et qu'il ne lui reste que peu de temps. Le diable lui propose un marché : un jour de vie supplémentaire à chaque fois qu'il accepte de faire disparaître une chose du monde. Au fil des disparitions (téléphones, films, horloges, chats), le narrateur médite sur ce qui donne sens à l'existence, sur ses souvenirs et sa relation à son père. Une fable douce-amère sur la valeur des êtres et des choses ordinaires."
